BOOK_ORDER,BOOK_ABBREV,BOOK,CHAPTER,VERSE,READING
13,1 Chr,1+Chronicles,10,4,
13,1 Chr,1+Chronicles,10,5,
13,1 Chr,1+Chronicles,10,6,
13,1 Chr,1+Chronicles,10,7,
13,1 Chr,1+Chronicles,10,8,
13,1 Chr,1+Chronicles,10,9,
13,1 Chr,1+Chronicles,13,1,
13,1 Chr,1+Chronicles,13,10,
13,1 Chr,1+Chronicles,13,11,
13,1 Chr,1+Chronicles,13,12,
13,1 Chr,1+Chronicles,13,13,
13,1 Chr,1+Chronicles,13,14,
13,1 Chr,1+Chronicles,13,2,
13,1 Chr,1+Chronicles,13,3,
13,1 Chr,1+Chronicles,13,4,
13,1 Chr,1+Chronicles,13,5,
13,1 Chr,1+Chronicles,13,6,
13,1 Chr,1+Chronicles,13,7,
13,1 Chr,1+Chronicles,13,8,
13,1 Chr,1+Chronicles,13,9,
13,1 Chr,1+Chronicles,14,1,
13,1 Chr,1+Chronicles,14,10,
13,1 Chr,1+Chronicles,14,11,
13,1 Chr,1+Chronicles,14,12,
13,1 Chr,1+Chronicles,14,13,
13,1 Chr,1+Chronicles,14,14,
13,1 Chr,1+Chronicles,14,15,
13,1 Chr,1+Chronicles,14,16,
13,1 Chr,1+Chronicles,14,17,
13,1 Chr,1+Chronicles,14,2,
13,1 Chr,1+Chronicles,14,3,
13,1 Chr,1+Chronicles,14,4,
13,1 Chr,1+Chronicles,14,5,
13,1 Chr,1+Chronicles,14,6,
13,1 Chr,1+Chronicles,14,7,
13,1 Chr,1+Chronicles,14,8,
13,1 Chr,1+Chronicles,14,9,
13,1 Chr,1+Chronicles,20,1,
13,1 Chr,1+Chronicles,20,2,
13,1 Chr,1+Chronicles,20,3,
13,1 Chr,1+Chronicles,20,4,
13,1 Chr,1+Chronicles,20,5,
13,1 Chr,1+Chronicles,20,6,
13,1 Chr,1+Chronicles,20,7,
13,1 Chr,1+Chronicles,20,8,
13,1 Chr,1+Chronicles,21,1,
13,1 Chr,1+Chronicles,21,10,
13,1 Chr,1+Chronicles,21,11,
13,1 Chr,1+Chronicles,21,12,
13,1 Chr,1+Chronicles,21,13,
13,1 Chr,1+Chronicles,21,14,
13,1 Chr,1+Chronicles,21,15,
13,1 Chr,1+Chronicles,21,16,
13,1 Chr,1+Chronicles,21,17,
13,1 Chr,1+Chronicles,21,18,
13,1 Chr,1+Chronicles,21,19,
13,1 Chr,1+Chronicles,21,2,
13,1 Chr,1+Chronicles,21,20,
13,1 Chr,1+Chronicles,21,21,
13,1 Chr,1+Chronicles,21,22,
13,1 Chr,1+Chronicles,21,23,
13,1 Chr,1+Chronicles,21,24,
13,1 Chr,1+Chronicles,21,25,
13,1 Chr,1+Chronicles,21,26,
13,1 Chr,1+Chronicles,21,27,
13,1 Chr,1+Chronicles,21,28,
13,1 Chr,1+Chronicles,21,29,
13,1 Chr,1+Chronicles,21,3,
13,1 Chr,1+Chronicles,21,30,
13,1 Chr,1+Chronicles,21,4,
13,1 Chr,1+Chronicles,21,5,
13,1 Chr,1+Chronicles,21,6,
13,1 Chr,1+Chronicles,21,7,
13,1 Chr,1+Chronicles,21,8,
13,1 Chr,1+Chronicles,21,9,
13,1 Chr,1+Chronicles,22,1,
13,1 Chr,1+Chronicles,22,10,
13,1 Chr,1+Chronicles,22,11,
13,1 Chr,1+Chronicles,22,12,
13,1 Chr,1+Chronicles,22,13,
13,1 Chr,1+Chronicles,22,14,
13,1 Chr,1+Chronicles,22,15,
13,1 Chr,1+Chronicles,22,16,
13,1 Chr,1+Chronicles,22,17,
13,1 Chr,1+Chronicles,22,18,
13,1 Chr,1+Chronicles,22,19,
13,1 Chr,1+Chronicles,22,2,
13,1 Chr,1+Chronicles,22,3,
13,1 Chr,1+Chronicles,22,4,
13,1 Chr,1+Chronicles,22,5,
13,1 Chr,1+Chronicles,22,6,
13,1 Chr,1+Chronicles,22,7,
13,1 Chr,1+Chronicles,22,8,
13,1 Chr,1+Chronicles,22,9,
13,1 Chr,1+Chronicles,23,1,
13,1 Chr,1+Chronicles,23,10,
13,1 Chr,1+Chronicles,23,11,
13,1 Chr,1+Chronicles,23,12,
13,1 Chr,1+Chronicles,23,13,
13,1 Chr,1+Chronicles,23,14,
13,1 Chr,1+Chronicles,23,15,
13,1 Chr,1+Chronicles,23,16,
13,1 Chr,1+Chronicles,23,17,
13,1 Chr,1+Chronicles,23,18,
13,1 Chr,1+Chronicles,23,19,
13,1 Chr,1+Chronicles,23,2,
13,1 Chr,1+Chronicles,23,20,
13,1 Chr,1+Chronicles,23,21,
13,1 Chr,1+Chronicles,23,22,
13,1 Chr,1+Chronicles,23,23,
13,1 Chr,1+Chronicles,23,24,
13,1 Chr,1+Chronicles,23,25,
13,1 Chr,1+Chronicles,23,26,
13,1 Chr,1+Chronicles,23,27,
13,1 Chr,1+Chronicles,23,28,
13,1 Chr,1+Chronicles,23,29,
